,A
754,46.775266087207314
755,46.77432903134577
756,46.93149763575108
757,47.15842121940588
758,47.05949889680869
759,47.01664650182536
760,47.00523112853496
761,46.84798540378948
762,47.0976252871933
763,47.0753570671002
764,46.82818107919882
765,46.88343749944306
766,47.029847795222786
767,46.766740056269064
768,46.84397223845688
769,47.08806862526531
770,47.1071081898446
771,46.90000508289937
772,47.042645892436234
773,47.189329220890386
774,47.17355845047342
775,46.866802537616536
776,46.86557130430219
777,47.013438529341975
778,46.78103104691254
779,46.95323821023123
780,47.13295604367151
781,47.10072338085416
782,47.09074684845213
783,46.94634534111561
784,47.126780838628996
785,47.01128517082669
786,47.11218308216395
787,46.95070068687319
788,47.099613799471705
789,47.16785941300926
790,47.108874486631066
791,47.14825055012033
792,47.05505336593948
793,47.076037607081034
794,47.05216891272018
795,47.032922158258195
796,47.12897205975237
797,47.03551207537965
798,47.33227695419304
799,47.07843176584507
800,47.33374373474729
801,47.17628047187459
802,36829.20625851184
803,47.02928954245235
804,46.97376307557488
805,46.864795145819826
806,13610.802494837983
807,46.89803486528181
808,11448.842377551468
809,47.06074585333202
810,9642.087074550522
811,47.11111625355167
812,31539.37501007755
813,47.111541775216544
814,43426.217317503964
815,47.130897066296725
816,45551.939483081645
817,47.128604131649766
818,52610.933344314806
819,47.0645992952861
820,43309.542474482674
821,47.098955164136505
822,47.27277382017615
823,46.989223239278466
824,46.894897463529084
825,46.95790245002688
826,46.946378742224006
827,47.05232815253253
828,47.04424150269985
829,47.096277078863736
830,47.0946364427291
831,47.09674319722756
832,47.0782181291637
833,47.158442429444776
834,47.04165886190854
835,47.313113763225786
836,47.08810602193349
837,47.208632302077845
838,47.09826739565328
839,46.95040963680406
840,46.8673322384433
841,46.95470848441221
842,46.98231323043381
843,47.04209406608733
844,47.03381780850325
845,47.04886309367893
846,47.03896771366561
847,47.03957160134789
848,47.045573466437425
849,47.02646585827316
850,47.062165620852255
851,47.01455054637977
852,47.03877905401835
853,46.8466558393429
854,46.90462913138512
855,47.418104414195234
856,20522.41722513767
857,46.47273252285717
858,47.21874062682792
859,47.2806267068528
860,47.328645479479825
